timestamp,image_capture_time,compressed_image_size_bytes,densecap_request_response_time
2024-01-21 22:09:43,0.14457821846,33993,1.1887319088
2024-01-21 22:09:45,0.145362854004,28857,1.11357784271
2024-01-21 22:09:46,0.11883187294,29448,0.992686033249
2024-01-21 22:09:47,0.164119005203,31239,0.979781866074
2024-01-21 22:09:48,0.161680936813,31476,1.05485582352
2024-01-21 22:09:49,0.154648065567,28995,1.03244304657
2024-01-21 22:09:51,0.154253005981,29835,1.00977301598
2024-01-21 22:09:52,0.131155014038,30999,0.93937087059
2024-01-21 22:09:53,0.117475032806,36942,0.999511957169
2024-01-21 22:09:54,0.135048866272,33282,0.974974870682
2024-01-21 22:09:55,0.145920991898,35502,1.03548884392
2024-01-21 22:09:56,0.164923191071,38166,1.04576206207
2024-01-21 22:09:58,0.152271032333,38541,1.06718707085
2024-01-21 22:09:59,0.161691188812,38832,0.969363212585
2024-01-21 22:10:00,0.199195861816,38853,1.01396489143
2024-01-21 22:10:01,0.128983974457,29733,1.09543991089
2024-01-21 22:10:02,0.133666992188,28911,1.00035905838
2024-01-21 22:10:03,0.132648944855,29328,1.12227296829
2024-01-21 22:10:05,0.144984006882,31413,1.01212215424
2024-01-21 22:10:06,0.187030076981,32838,1.04816293716
2024-01-21 22:10:07,0.120853900909,30006,1.016477108
2024-01-21 22:10:08,0.166129112244,30894,1.02689599991
2024-01-21 22:10:09,0.121204137802,34827,1.05547714233
2024-01-21 22:10:11,0.13897395134,32493,1.02691698074
2024-01-21 22:10:12,0.16058588028,32361,0.960412979126
2024-01-21 22:10:13,0.183063983917,33687,1.08397507668
2024-01-21 22:10:14,0.119166851044,34719,1.00275492668
2024-01-21 22:10:15,0.127676963806,34932,1.04898405075
2024-01-21 22:10:16,0.148802995682,32424,1.12026810646
2024-01-21 22:10:18,0.145295143127,33627,0.966982126236
2024-01-21 22:10:19,0.132694005966,32481,0.984761953354
2024-01-21 22:10:20,0.164259910583,33669,1.01545381546
2024-01-21 22:10:21,0.159602165222,27483,0.997943162918
2024-01-21 22:10:22,0.140282869339,28848,0.997489929199
2024-01-21 22:10:23,0.137326955795,31644,1.03740906715
2024-01-21 22:10:25,0.133589982986,36525,1.0444560051
2024-01-21 22:10:26,0.135705947876,38625,1.05086898804
2024-01-21 22:10:27,0.138638973236,38904,1.05779194832
2024-01-21 22:10:28,0.14585185051,40140,1.08090496063
2024-01-21 22:10:29,0.157006978989,62385,1.48132991791
