timestamp,image_capture_time,compressed_image_size_bytes,densecap_request_response_time
2024-01-15 13:04:15,0.349520921707,110946,17.0551009178
2024-01-15 13:04:38,0.344312906265,113295,48.5144820213
2024-01-15 13:05:31,0.450387001038,109932,12.1517691612
2024-01-15 13:05:49,0.501886129379,108798,6.4869351387
2024-01-15 13:06:28,0.446671962738,109581,19.2934799194
2024-01-15 13:06:47,0.442807912827,116805,24.1085181236
2024-01-15 13:07:12,0.421195983887,83820,18.3748140335
2024-01-15 13:07:31,0.404589176178,123360,13.6324801445
2024-01-15 13:07:45,0.402472019196,113943,44.0642819405
2024-01-15 13:08:29,0.451066017151,113385,13.5485928059
2024-01-15 13:08:43,0.445529937744,113751,23.9256329536
2024-01-15 13:13:49,0.432852983475,106101,9.18668413162
2024-01-15 13:13:59,0.386106014252,105240,10.0895659924
2024-01-15 13:14:09,0.363656044006,116250,22.7740728855
2024-01-15 13:14:33,0.381608963013,113880,13.4963760376
2024-01-15 13:14:46,0.494716882706,88488,11.0704360008
2024-01-15 13:14:58,0.427845001221,115215,22.1667141914
2024-01-15 13:15:21,0.483458995819,115182,8.3209540844
2024-01-15 13:17:58,0.04326224327087402,41343.0,25.337215900421143
2024-01-15 13:19:13,0.02442193031311035,46497.0,8.023900985717773
2024-01-15 13:19:21,0.006947994232177734,41097.0,11.464436292648315
2024-01-15 13:19:33,0.03256535530090332,41544.0,5.104752063751221
2024-01-15 13:19:38,0.025588274002075195,41517.0,6.2450361251831055
2024-01-15 13:19:44,0.0186920166015625,41595.0,3.234982967376709
2024-01-15 13:19:47,0.02944183349609375,42204.0,10.172717094421387
2024-01-16 12:24:22,0.491779088974,115095,91.2276189327
2024-01-16 12:25:54,0.4304459095,117792,8.74077701569
2024-01-16 12:26:03,0.464693069458,117921,39.3532710075
2024-01-16 12:26:43,0.414636135101,120246,24.8587799072
2024-01-16 12:27:08,0.421077013016,125157,17.8379919529
2024-01-16 12:27:27,0.398844957352,125358,21.5999720097
2024-01-16 12:27:49,0.351222038269,126393,40.2686190605
2024-01-16 12:29:11,0.441787004471,116067,58.8068981171
2024-01-16 12:30:11,0.535892963409,117090,46.2925758362
2024-01-16 12:30:57,0.349207162857,126207,53.7318649292
2024-01-16 12:31:52,0.489364862442,117828,19.9307649136
2024-01-16 12:32:12,0.474656105042,124614,27.6691589355
2024-01-16 12:32:40,0.398180961609,129429,12.969602108
2024-01-16 12:32:53,0.438279151917,85275,5.50619411469
2024-01-16 12:32:59,0.449600934982,117120,38.1755671501
2024-01-16 12:33:38,0.430741786957,115668,27.1814310551
2024-01-16 12:34:06,0.425878047943,121287,59.0078709126
2024-01-16 12:35:05,0.419730901718,123909,13.0539200306
2024-01-16 12:35:19,0.354940891266,121902,62.958810091
2024-01-16 12:36:22,0.46414899826,123444,25.846064806
2024-01-16 12:36:48,0.393704175949,129933,15.0393569469
2024-01-16 12:37:04,0.449352025986,123798,31.298635006
2024-01-16 12:37:35,0.349364995956,127749,20.8429448605
2024-01-16 12:37:57,0.438107013702,125406,7.11330008507
2024-01-16 12:38:04,0.42565703392,127926,9.38839697838
2024-01-16 12:38:14,0.396250009537,128994,18.6427938938
2024-01-16 12:38:33,0.303153038025,130656,13.8389179707
2024-01-16 12:38:47,0.361097097397,128820,75.2573740482
2024-01-16 12:40:03,0.414510011673,129165,56.0857300758
2024-01-16 12:40:59,0.426786899567,114138,9.47290897369
2024-01-16 12:41:09,0.436496973038,136275,6.00047016144
2024-01-16 12:41:16,0.454121828079,103026,5.9953057766
2024-01-16 12:41:22,0.454447984695,118314,7.68821692467
2024-01-16 12:41:30,0.392165184021,118860,32.5780069828
2024-01-16 12:46:13,0.451782941818,134310,26.4497878551
2024-01-16 12:46:40,0.459584951401,133953,7.43286705017
2024-01-16 12:46:48,0.390721082687,135585,22.5838081837
2024-01-16 12:47:11,0.400364875793,107523,8.00910997391
2024-01-16 12:47:19,0.449371099472,131925,5.95889806747
2024-01-16 12:48:31,0.444567203522,121707,9.28256988525
2024-01-16 12:48:41,0.504050016403,102402,51.6141161919
