timestamp,ack_sentence_speaking_time,first_request_response_time,second_request_response_time,first_sentence_speaking_time,second_sentence_speaking_time
2024-01-15 13:04:39,1.98992395401,2.31052207947,2.14444208145,3.66712284088,5.57161688805
2024-01-15 13:06:35,2.34169507027,3.55556988716,2.40205287933,4.50773501396,4.51943206787
2024-01-15 13:06:56,1.57100391388,3.844602108,3.00465607643,7.43746185303,7.11598682404
2024-01-15 13:13:55,1.58052802086,2.23284602165,1.66703510284,2.79668498039,1.48410916328
2024-01-15 13:14:07,1.94265604019,2.70134997368,2.9403231144,2.04166197777,4.31135582924
2024-01-15 13:14:23,1.55158901215,3.45547914505,1.48781299591,3.47093200684,3.0797290802
2024-01-15 13:14:38,1.44886398315,3.66159200668,3.84906196594,3.97397398949,2.82806110382
2024-01-15 13:14:54,1.39250779152,4.55208110809,3.20549511909,4.81565117836,1.46946191788
2024-01-16 12:24:28,2.06769919395,3.39827394485,2.00064206123,3.32315206528,2.24781703949
2024-01-16 12:24:48,1.90848994255,2.48736691475,2.16731405258,4.74471116066,3.68433785439
2024-01-16 12:25:04,1.97442388535,2.38942408562,1.54280591011,3.09315395355,4.79675793648
2024-01-16 12:29:25,2.05064582825,1.898416996,2.01916313171,2.93507814407,6.56527090073
2024-01-16 12:29:47,1.72403812408,2.36479997635,1.44858908653,6.21420812607,3.95442891121
2024-01-16 12:30:08,2.0296330452,4.98339796066,2.98869395256,6.16816306114,3.31132006645
2024-01-16 12:30:32,2.00065588951,8.90627002716,2.89564204216,7.42814898491,4.60011696815
2024-01-16 12:31:05,2.20758700371,3.58154797554,2.35549116135,5.58992409706,3.67375993729
2024-01-16 12:46:25,2.08016395569,2.35480690002,2.51337695122,4.53344583511,3.93126916885
2024-01-16 12:46:46,1.55914998055,2.66089606285,2.33092308044,7.0469429493,1.11113214493
2024-01-16 12:47:05,1.40860486031,2.66784310341,1.73925304413,8.132365942,3.00441813469
2024-01-16 12:48:40,1.94239401817,2.5247490406,1.18145799637,2.96301102638,7.46791195869
2024-01-16 12:49:03,1.57330298424,2.35648202896,1.27764391899,6.59749889374,9.79979991913
2024-01-16 12:49:26,2.3986928463,1.92502593994,1.33241295815,13.2185299397,12.0820689201
